source|target|source_label|target_label
Camellia_sinensis_leaf|Spontaneous pain sensation|Camellia_sinensis_leaf|Spontaneous pain sensation
Camellia_sinensis_leaf|Fever|Camellia_sinensis_leaf|Fever
Camellia_sinensis_leaf|Prolonged bleeding time|Camellia_sinensis_leaf|Prolonged bleeding time
Camellia_sinensis_leaf|Night sweats|Camellia_sinensis_leaf|Night sweats
Mitragyna_speciosa|substance dependence|Mitragyna_speciosa|substance dependence
Camellia_sinensis_leaf|Recurrent lower respiratory tract infections|Camellia_sinensis_leaf|Recurrent lower respiratory tract infections
Mitragyna_speciosa|Seizure|Mitragyna_speciosa|Seizure
Camellia_sinensis_leaf|Sinusitis|Camellia_sinensis_leaf|Sinusitis
Mitragyna_speciosa|Cardiorespiratory arrest|Mitragyna_speciosa|Cardiorespiratory arrest
Camellia_sinensis_leaf|Urticaria|Camellia_sinensis_leaf|Urticaria
Mitragyna_speciosa|Respiratory arrest|Mitragyna_speciosa|Respiratory arrest
Mitragyna_speciosa|Caesarian section|Mitragyna_speciosa|Caesarian section
Camellia_sinensis_leaf||Camellia_sinensis_leaf|
Mitragyna_speciosa|Cardiac arrest|Mitragyna_speciosa|Cardiac arrest
Mitragyna_speciosa|Abnormality of the coagulation cascade|Mitragyna_speciosa|Abnormality of the coagulation cascade
Camellia_sinensis_leaf|Sleep disturbance|Camellia_sinensis_leaf|Sleep disturbance
Camellia_sinensis_leaf|Back pain|Camellia_sinensis_leaf|Back pain
Mitragyna_speciosa||Mitragyna_speciosa|
Mitragyna_speciosa|Acute hepatic failure|Mitragyna_speciosa|Acute hepatic failure
Mitragyna_speciosa|Hyperhidrosis|Mitragyna_speciosa|Hyperhidrosis
Mitragyna_speciosa|Bilateral tonic-clonic seizure|Mitragyna_speciosa|Bilateral tonic-clonic seizure
Camellia_sinensis_leaf|Spasticity|Camellia_sinensis_leaf|Spasticity
Mitragyna_speciosa|substance withdrawal syndrome|Mitragyna_speciosa|substance withdrawal syndrome
Camellia_sinensis_leaf|Abnormality of the respiratory system|Camellia_sinensis_leaf|Abnormality of the respiratory system
Mitragyna_speciosa|serotonin syndrome|Mitragyna_speciosa|serotonin syndrome
Camellia_sinensis_leaf|Abdominal pain|Camellia_sinensis_leaf|Abdominal pain
Mitragyna_speciosa|Irritability|Mitragyna_speciosa|Irritability
Mitragyna_speciosa|drug-induced liver injury|Mitragyna_speciosa|drug-induced liver injury
